2015-12-10 10:33:28,988 DEBUG [java.sql.Connection] - {conn-100000} Connection
2015-12-10 10:33:28,996 DEBUG [java.sql.Connection] - {conn-100000} Preparing Statement:    select      cd.ID,   cd.NAME,   cd.CODE,   cd.VALUE,   cd.GROUP_NAME,   cd.PARENT_ID,   cd.ORDERING,   cd.MEMO,   cd.OPERATOR,   cd.GMT_CREATE,   cd.GMT_MODIFY     from COMM_DATADIC cd   order by cd.GROUP_NAME, cd.PARENT_ID, cd.ORDERING,   cd.GMT_CREATE  
2015-12-10 10:33:29,055 DEBUG [java.sql.PreparedStatement] - {pstm-100001} Executing Statement:    select      cd.ID,   cd.NAME,   cd.CODE,   cd.VALUE,   cd.GROUP_NAME,   cd.PARENT_ID,   cd.ORDERING,   cd.MEMO,   cd.OPERATOR,   cd.GMT_CREATE,   cd.GMT_MODIFY     from COMM_DATADIC cd   order by cd.GROUP_NAME, cd.PARENT_ID, cd.ORDERING,   cd.GMT_CREATE  
2015-12-10 10:33:29,056 DEBUG [java.sql.PreparedStatement] - {pstm-100001} Parameters: []
2015-12-10 10:33:29,056 DEBUG [java.sql.PreparedStatement] - {pstm-100001} Types: []
2015-12-10 10:33:29,106 DEBUG [java.sql.ResultSet] - {rset-100002} ResultSet
2015-12-10 10:33:29,136 DEBUG [java.sql.ResultSet] - {rset-100002} Header: [ID, NAME, CODE, VALUE, GROUP_NAME, PARENT_ID, ORDERING, MEMO, OPERATOR, GMT_CREATE, GMT_MODIFY]
2015-12-10 10:33:29,182 DEBUG [java.sql.ResultSet] - {rset-100002} Result: [10150, 日照, null, 910, city, 10139, 11, null, admin, 2015-04-14 14:01:35.0, 2015-04-14 14:01:35.0]
2015-12-10 10:33:29,182 DEBUG [java.sql.ResultSet] - {rset-100002} Result: [10151, 泰安, null, 911, city, 10139, 12, null, admin, 2015-04-14 14:01:35.0, 2015-04-14 14:01:35.0]
2015-12-10 10:33:29,183 DEBUG [java.sql.ResultSet] - {rset-100002} Result: [10152, 威海, null, 912, city, 10139, 13, null, admin, 2015-04-14 14:01:35.0, 2015-04-14 14:01:35.0]
2015-12-10 10:33:29,183 DEBUG [java.sql.ResultSet] - {rset-100002} Result: [10153, 潍坊, null, 913, city, 10139, 14, null, admin, 2015-04-14 14:01:35.0, 2015-04-14 14:01:35.0]
2015-12-10 10:33:29,183 DEBUG [java.sql.ResultSet] - {rset-100002} Result: [10154, 烟台, null, 914, city, 10139, 15, null, admin, 2015-04-14 14:01:35.0, 2015-04-14 14:01:35.0]
2015-12-10 10:33:29,184 DEBUG [java.sql.ResultSet] - {rset-100002} Result: [10155, 枣庄, null, 915, city, 10139, 16, null, admin, 2015-04-14 14:01:35.0, 2015-04-14 14:01:35.0]
2015-12-10 10:33:29,185 DEBUG [java.sql.ResultSet] - {rset-100002} Result: [10156, 淄博, null, 916, city, 10139, 17, null, admin, 2015-04-14 14:01:35.0, 2015-04-14 14:01:35.0]
2015-12-10 10:33:29,185 DEBUG [java.sql.ResultSet] - {rset-100002} Result: [10158, 呼和浩特, null, 1000, city, 10157, 1, null, admin, 2015-04-14 14:01:35.0, 2015-04-14 14:01:35.0]
2015-12-10 10:33:29,186 DEBUG [java.sql.ResultSet] - {rset-100002} Result: [10159, 阿拉善, null, 1001, city, 10157, 2, null, admin, 2015-04-14 14:01:35.0, 2015-04-14 14:01:35.0]
2015-12-10 10:33:29,187 DEBUG [java.sql.ResultSet] - {rset-100002} Result: [10160, 巴彦淖尔, null, 1002, city, 10157, 3, null, admin, 2015-04-14 14:01:35.0, 2015-04-14 14:01:35.0]
